COD,Nombre Producto,Precio,INICIAL,QUINCENAL (8 CUOTAS),MENSUAL (4 CUOTAS),3 CUOTAS,6 CUOTAS,12 CUOTAS,Enlaces
5698,REACONDICIONADO iPhone 12 128gb I Grado A I color Negro,1629,488.70,190.00,380.00,543.00,313.98,192.39,https://Icenter.pe/grado-a/apple-iphone-12-4gb-color-negro-QGcJfLd2
1871,REACONDICIONADO iPhone 12 128gb I Grado A I color Azul,1629,488.70,190.00,380.00,543.00,313.98,192.39,https://Icenter.pe/grado-a/apple-iphone-12-4gb-color-azul-AYPHWXCc
8775,REACONDICIONADO iPhone 12 128gb I Grado B I color Azul,1529,458.70,178.33,356.67,509.67,292.32,177.42,https://Icenter.pe/grado-b/apple-iphone-12-4gb-color-negro-9VcG5p3x
1793,REACONDICIONADO iPhone 12 mini 128gb I Grado A I color Azul,1389,416.70,162.01,324.02,463.00,264.00,159.08,https://Icenter.pe/grado-a/apple-iphone-12-mini-4gb-color-azul-25wrSmyV
2905,REACONDICIONADO iPhone 12 mini 128gb I Grado A I color Negro,1389,416.70,162.01,324.02,463.00,264.00,159.08,https://Icenter.pe/grado-a/apple-iphone-12-mini-4gb-color-negro-a6p2YP9L
7749,REACONDICIONADO iPhone 12 Pro 128gb I Grado C I color Azul,1650,495.00,192.45,384.90,550.00,317.48,194.14,https://Icenter.pe/grado-c/apple-iphone-12-pro-reacondicionado-6gb-color-azul-pacifico-VRK2Y65P
4980,REACONDICIONADO iPhone 12 Pro 128gb I Grado A I color Grafito,1850,555.00,215.78,431.56,616.67,357.08,219.13,https://Icenter.pe/grado-b/apple-iphone-12-pro-6gb-color-grafito-ZN0vWnUQ
9958,REACONDICIONADO iPhone 12 Pro 128gb I Grado B I color Grafito,1750,525.00,204.11,408.23,583.33,334.15,202.47,https://Icenter.pe/grado-b/apple-iphone-12-pro-6gb-color-grafito-ZN0vWnUQ
2819,REACONDICIONADO iPhone 12 Pro Max 128gb I Grado A I color Azul Pacifico,2299,689.70,268.15,536.30,766.33,439.41,266.57,https://Icenter.pe/grado-b/apple-iphone-12-pro-max-6gb-color-oro-JvHNUipx
5427,REACONDICIONADO iPhone 12 Pro Max 128gb I Grado A I color Grafito,2299,689.70,268.15,536.30,766.33,439.41,266.57,https://Icenter.pe/grado-b/apple-iphone-12-pro-max-6gb-color-oro-JvHNUipx
7052,REACONDICIONADO iPhone 12 Pro Max 128gb I Grado C I color Azul Pacifico,2099,629.70,244.82,489.64,699.66,398.58,239.88,https://Icenter.pe/grado-b/apple-iphone-12-pro-max-6gb-color-oro-JvHNUipx
7975,REACONDICIONADO iPhone 12 Pro Max 128gb I Grado B I color Oro,2099,629.70,244.82,489.64,699.66,398.58,239.88,https://Icenter.pe/grado-b/apple-iphone-12-pro-max-6gb-color-oro-JvHNUipx
9394,REACONDICIONADO iPhone 13 128gb I Grado A I color Negro,1749,524.70,203.99,524.70,583.00,333.98,202.39,https://Icenter.pe/grado-a/apple-iphone-13-4gb-color-negro-medianoche-oYBq6RUk
2214,REACONDICIONADO iPhone 13 128gb I Grado A I color Azul,1749,524.70,203.99,524.70,583.00,333.98,202.39,https://Icenter.pe/grado-a/apple-iphone-13-4gb-color-azul-s2guEMtV
6355,REACONDICIONADO iPhone 13 mini 128gb I Grado A I color Azul,1619,485.70,188.83,377.67,539.67,312.31,191.56,https://Icenter.pe/grado-a/apple-iphone-13-mini-4gb-color-azul-zmZ46JlT
1235,REACONDICIONADO iPhone 13 Pro 128gb I Grado A I color Oro,2459,737.70,286.81,573.62,819.67,473.55,289.92,https://Icenter.pe/grado-b/apple-iphone-13-pro-6gb-color-plata-vecqaNoh
1235,REACONDICIONADO iPhone 13 Pro 128gb I Grado B I color Plata,2359,707.70,275.14,550.29,786.33,449.41,271.57,https://Icenter.pe/grado-b/apple-iphone-13-pro-6gb-color-plata-vecqaNoh
8791,REACONDICIONADO iPhone 13 Pro 128gb I Grado B I color GRAFITO,2359,707.70,275.14,550.29,786.33,449.41,271.57,https://Icenter.pe/grado-b/apple-iphone-13-pro-6gb-color-grafito-WA3dMbjH
3222,REACONDICIONADO iPhone 13 Pro 128gb I Grado B I color VERDE ALPINO,2359,707.70,275.14,550.29,786.33,449.41,271.57,https://Icenter.pe/grado-b/apple-iphone-13-pro-6gb-color-verde-alpino-xhP21d0o
8923,REACONDICIONADO iPhone 14 128gb I Grado A I color Negro,2219,665.70,258.81,517.63,739.67,426.07,259.91,https://Icenter.pe/grado-a/apple-iphone-14-esim-6gb-color-negro-medianoche-6yBlF8hn
3388,REACONDICIONADO iPhone 14 128gb I Grado B I color Negro,2119,635.70,247.15,494.31,706.33,409.41,251.57,https://Icenter.pe/grado-b/apple-iphone-14-esim-6gb-color-negro-medianoche-Fuzn50Ma
2090,REACONDICIONADO iPhone 14 128gb I Grado A I color Rojo,2219,665.70,258.81,517.63,739.67,426.07,259.91,https://Icenter.pe/grado-a/apple-iphone-14-esim-6gb-color-rojo-TK64f2SR
1101,REACONDICIONADO iPhone 14 128gb I Grado A I color Blanco,2219,665.70,258.81,517.63,739.67,426.07,259.91,https://Icenter.pe/grado-a/apple-iphone-14-esim-6gb-color-blanco-8X0r4vWJ
1648,REACONDICIONADO S22 Ultra 5G 128gb I Grado A I color Verde,2099,629.70,244.82,489.64,699.67,398.58,239.88,https://Icenter.pe/grado-a/samsung-galaxy-s22-ultra-12gb-color-verde-Ycb1Sj2t
9685,REACONDICIONADO S23 128gb I Grado A I color Lavanda,1829,548.70,213.33,426.66,609.67,353.58,217.38,https://Icenter.pe/grado-a/samsung-galaxy-s23-8gb-color-lavanda-3JLYAZfe
1517,REACONDICIONADO S22 Ultra 5G 128gb I Grado B I color Blanco,1999,599.70,233.15,466.31,666.33,381.92,231.54,https://Icenter.pe/grado-b/samsung-galaxy-s22-ultra-8gb-color-blanco-34fulqgh
1327,REACONDICIONADO iPhone 14 Pro 128gb I Grado B I color NEGRO MEDIANOCHE,2799,839.70,326.46,652.93,933.00,537.75,328.24,https://Icenter.pe/grado-b/apple-iphone-14-pro-esim-6gb-color-negro-espacial-op7gQb9G
9289,REACONDICIONADO iPhone 15 PLUS 128gb I Grado A I color AZUL,2899,869.70,338.13,676.26,966.33,554.42,336.57,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
1534,REACONDICIONADO iPhone 15 PLUS 128gb I Grado A I color VERDE,2899,869.70,338.13,676.26,966.33,554.42,336.57,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
3376,REACONDICIONADO iPhone 15 PLUS 128gb I Grado A I color NEGRO,2899,869.70,338.13,676.26,966.33,554.42,336.57,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
6902,REACONDICIONADO iPhone 13 Pro Max 256gb I Grado A I color Azul Sierra,3159,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-13-pro-max-6gb-color-grafito-7EUQsZ0W
7426,REACONDICIONADO iPhone 15 PRO 256gb I Grado B I color TITANIO NATURAL,3499,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-esim-6gb-color-negro-espacial-op7gQb9G
5444,REACONDICIONADO iPhone 16 128gb I Grado OPEN BOX I color VERDE AZULADO,3229,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
6852,REACONDICIONADO iPhone 16 128gb I Grado A I color ULTRAMARINO,3129,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
3432,REACONDICIONADO iPhone 14 Pro Max 256gb I Grado A I color MORADO OSCURO,3629,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
8296,REACONDICIONADO iPhone 14 Pro Max 256gb I Grado B I color NEGRO ESPACIAL,3529,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
2940,REACONDICIONADO iPhone 14 Pro Max 128gb I Grado B I color NEGRO ESPACIAL,3390,900.00,349.91,699.82,1000.00,571.25,344.99,https://Icenter.pe/grado-b/apple-iphone-14-pro-max-esim-6gb-color-negro-espacial-sNvtzOeB
